market_key,market,scenario_id,scenario,is_baseline,sensitivity_parameter,sensitivity_value,n,epsilon,d_I,d_J,replication,strategy,interactions_total,interactions_per_customer,welfare,optimal_welfare,welfare_ratio,welfare_regret,match_rate,runtime_ms,baseline_prediction,centralized_sufficient_condition,z,rejections,acceptances,displacements,provider_initiated_contacts,recommendations_per_customer,accepted_recommendations
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,2,Both sides search,63,2.52,20.6,20.6,1.0,0.0,1.0,0.22659999376628548,Customers search,False,0.0,20.0,43.0,18.0,0.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,2,Centralized matching,625,25.0,14.0,20.6,0.6796116504854368,0.3203883495145632,0.56,0.42189999658148736,Customers search,False,,,,,,25.0,25.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,d_J (with d_I fixed at 0.10),0.8,25,0.1,0.1,0.8,2,Customers search,46,1.84,21.400000000000002,21.4,1.0000000000000002,-2.220446049250313e-16,1.0,0.1683999944361858,Customers search,False,,5.0,41.0,16.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,d_J (with d_I fixed at 0.10),0.8,25,0.1,0.1,0.8,2,Providers search,376,15.04,21.400000000000002,21.4,1.0000000000000002,-2.220446049250313e-16,1.0,1.1561999999685213,Customers search,False,,335.0,41.0,16.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,d_J (with d_I fixed at 0.10),0.8,25,0.1,0.1,0.8,2,Both sides search,46,1.84,21.400000000000002,21.4,1.0000000000000002,-2.220446049250313e-16,1.0,0.17300000035902485,Customers search,False,0.0,5.0,41.0,16.0,0.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,d_J (with d_I fixed at 0.10),0.8,25,0.1,0.1,0.8,2,Centralized matching,625,25.0,16.0,21.4,0.7476635514018692,0.25233644859813076,0.64,0.39029999607009813,Customers search,False,,,,,,25.0,35.0
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,d_J (with d_I fixed at 0.10),1.0,25,0.1,0.1,1.0,2,Customers search,41,1.64,21.800000000000004,21.8,1.0000000000000002,-2.220446049250313e-16,1.0,0.15169999824138358,Customers search,False,,0.0,41.0,16.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,d_J (with d_I fixed at 0.10),1.0,25,0.1,0.1,1.0,2,Providers search,448,17.92,21.800000000000004,21.8,1.0000000000000002,-2.220446049250313e-16,1.0,1.9643999985419214,Customers search,False,,398.0,50.0,25.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,d_J (with d_I fixed at 0.10),1.0,25,0.1,0.1,1.0,2,Both sides search,41,1.64,21.800000000000004,21.8,1.0000000000000002,-2.220446049250313e-16,1.0,0.24810000468278304,Customers search,False,0.0,0.0,41.0,16.0,0.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,d_J (with d_I fixed at 0.10),1.0,25,0.1,0.1,1.0,2,Centralized matching,625,25.0,17.0,21.8,0.7798165137614679,0.22018348623853212,0.68,0.5110999991302378,Customers search,False,,,,,,25.0,44.0
